ISO,Country,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest
GIN,Guinea,SSA,WCA,Least Developed,34,37,31,44,14,55,43,38,22,11
GNB,Guinea-Bissau,SSA,WCA,Least Developed,28,26,29,36,11,38,39,34,19,6
GUY,Guyana,LAC,LAC,Less Developed,2,2,2,3,1,2,1,5,3,1
HTI,Haiti,LAC,LAC,Least Developed,8,8,9,11,4,21,8,4,3,2
HND,Honduras,LAC,LAC,Less Developed,4,4,5,5,3,8,5,2,3,2
IND,India,SA,SA,Less Developed,6,6,6,7,4,13,6,4,3,1
IDN,Indonesia,EAP,EAP,Less Developed,1,1,2,2,1,3,2,1,1,0
IRQ,Iraq,MENA,MENA,Less Developed,8,10,7,11,7,16,8,8,4,3
JAM,Jamaica,LAC,LAC,Less Developed,0,0,1,1,0,1,0,1,0,0
JOR,Jordan,MENA,MENA,Less Developed,3,2,3,2,3,4,2,2,3,2
KAZ,Kazakhstan,ECA,EECA,Less Developed,0,0,0,0,1,0,0,1,1,1
KEN,Kenya,SSA,ESA,Less Developed,5,5,5,5,3,14,2,1,2,2
KIR,Kiribati,EAP,EAP,Least Developed,3,2,4,2,4,3,2,4,4,2
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,1,1,1,1,1,2,2,1,0,1
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,8,8,8,10,3,19,7,4,2,1
LSO,Lesotho,SSA,ESA,Least Developed,3,2,4,3,3,5,2,2,3,1
LBR,Liberia,SSA,WCA,Least Developed,17,17,18,23,14,32,23,16,10,7
MDG,Madagascar,SSA,ESA,Least Developed,22,19,24,24,11,44,30,14,7,3
MWI,Malawi,SSA,ESA,Least Developed,6,5,6,6,2,10,7,5,3,2
MDV,Maldives,SA,SA,Less Developed,1,1,1,1,1,1,1,1,1,1
MLI,Mali,SSA,WCA,Least Developed,47,50,45,55,18,74,59,50,34,16
MRT,Mauritania,SSA,WCA,Least Developed,42,40,44,51,29,58,53,39,31,17
MNG,Mongolia,EAP,EAP,Less Developed,4,3,5,3,4,3,4,4,4,3
MNE,Montenegro,ECA,EECA,More Developed,3,3,4,3,4,8,2,2,3,1
MOZ,Mozambique,SSA,ESA,Least Developed,23,23,23,27,12,36,32,25,16,5
MMR,Myanmar,EAP,EAP,Least Developed,6,7,5,7,3,14,5,3,3,2
NAM,Namibia,SSA,ESA,Less Developed,4,4,5,6,2,8,5,4,2,1
NPL,Nepal,SA,SA,Least Developed,6,7,5,6,5,6,6,8,5,1
NER,Niger,SSA,WCA,Least Developed,49,54,45,55,17,65,60,55,43,18
NGA,Nigeria,SSA,WCA,Less Developed,28,29,27,39,11,64,36,17,6,3
MKD,North Macedonia,ECA,EECA,More Developed,2,1,2,1,2,3,3,1,1,0
PAK,Pakistan,SA,SA,Less Developed,23,27,19,28,12,50,24,14,8,4
PAN,Panama,LAC,LAC,Less Developed,1,1,1,1,1,2,2,0,0,0
PRY,Paraguay,LAC,LAC,Less Developed,1,1,1,1,0,2,0,0,0,0
PER,Peru,LAC,LAC,Less Developed,3,2,3,2,3,3,3,2,2,2
PHL,Philippines,EAP,EAP,Less Developed,2,2,3,2,2,4,2,2,1,1
MDA,Republic of Moldova,ECA,EECA,More Developed,1,1,1,0,1,1,1,1,1,0
RWA,Rwanda,SSA,ESA,Least Developed,6,4,7,6,4,12,6,4,3,3
LCA,Saint Lucia,LAC,LAC,Less Developed,0,1,0,0,0,1,0,0,0,0
WSM,Samoa,EAP,EAP,Less Developed,7,7,7,7,6,11,9,5,4,4
STP,Sao Tome and Principe,SSA,WCA,Least Developed,3,3,4,3,3,6,4,2,2,3
SEN,Senegal,SSA,WCA,Least Developed,39,38,40,51,20,56,47,37,31,14
SRB,Serbia,ECA,EECA,More Developed,1,1,0,0,1,0,0,1,1,0
SLE,Sierra Leone,SSA,WCA,Least Developed,17,15,20,24,8,34,22,14,9,6
ZAF,South Africa,SSA,ESA,Less Developed,1,1,1,1,1,2,1,1,1,0
SSD,South Sudan,SSA,ESA,Least Developed,72,75,70,78,56,86,84,77,65,44
LKA,Sri Lanka,SA,SA,Less Developed,2,2,2,2,3,2,2,2,3,2
PSE,State of Palestine,MENA,MENA,Less Developed,1,1,2,1,1,2,2,2,1,0
SDN,Sudan,SSA,ESA,Least Developed,21,21,20,27,6,41,33,15,5,1
SUR,Suriname,LAC,LAC,Less Developed,2,2,3,3,2,5,2,1,1,2
TJK,Tajikistan,ECA,EECA,Less Developed,2,2,2,2,2,2,2,2,1,2
THA,Thailand,EAP,EAP,Less Developed,1,1,1,1,1,1,1,1,2,1
TLS,Timor-Leste,EAP,EAP,Least Developed,10,9,10,11,4,18,12,7,5,3
TGO,Togo,SSA,WCA,Least Developed,8,9,8,11,3,17,10,4,2,3
TON,Tonga,EAP,EAP,Less Developed,4,4,4,4,3,5,3,3,4,3
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,1,1,1,1,1,2,1,1,1,0
TUN,Tunisia,MENA,MENA,Less Developed,3,3,3,3,3,4,3,3,3,2
TUR,Turkey,ECA,EECA,Less Developed,4,3,5,4,4,7,3,3,4,2
TKM,Turkmenistan,ECA,EECA,Less Developed,1,1,2,1,2,1,2,1,3,1
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,2,1,4,0,2,0,0,0,7,1
TUV,Tuvalu,EAP,EAP,Least Developed,16,15,16,20,13,21,18,10,12,18
UGA,Uganda,SSA,ESA,Least Developed,8,8,9,9,6,20,8,5,4,3
UKR,Ukraine,ECA,EECA,More Developed,2,2,2,3,1,2,3,2,1,1
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,16,14,18,19,7,32,21,12,7,4
URY,Uruguay,LAC,LAC,Less Developed,1,1,1,0,1,1,0,0,3,1
VNM,Viet Nam,EAP,EAP,Less Developed,2,2,1,2,1,5,1,0,1,1
YEM,Yemen,MENA,MENA,Least Developed,23,27,19,27,14,44,24,18,16,9
ZMB,Zambia,SSA,ESA,Least Developed,16,13,18,19,9,28,20,15,10,3
ZWE,Zimbabwe,SSA,ESA,Less Developed,5,4,5,5,4,8,4,4,4,2
